"Date","Country","Status","Color","Type","Value"
2022-07-03,"El Salvador","Confirmed","#D6604D","Total Count",169646
2022-07-03,"El Salvador","Confirmed","#D6604D","Count per 10K",267.369582348306
2022-07-03,"El Salvador","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Namibia","Confirmed","#D6604D","Total Count",169230
2022-07-03,"Namibia","Confirmed","#D6604D","Count per 10K",682.379032258065
2022-07-03,"Namibia","Confirmed","#D6604D","New Cases per 10K",0.108870967741935
2022-07-03,"Uganda","Confirmed","#D6604D","Total Count",167935
2022-07-03,"Uganda","Confirmed","#D6604D","Count per 10K",40.477969533359
2022-07-03,"Uganda","Confirmed","#D6604D","New Cases per 10K",0.0142209795603548
2022-07-03,"Trinidad and Tobago","Confirmed","#D6604D","Total Count",167495
2022-07-03,"Trinidad and Tobago","Confirmed","#D6604D","Count per 10K",1227.0695970696
2022-07-03,"Trinidad and Tobago","Confirmed","#D6604D","New Cases per 10K",0.402930402930403
2022-07-03,"Ghana","Confirmed","#D6604D","Total Count",166397
2022-07-03,"Ghana","Confirmed","#D6604D","Count per 10K",58.9913851171695
2022-07-03,"Ghana","Confirmed","#D6604D","New Cases per 10K",0.0935937887758358
2022-07-03,"Brunei","Confirmed","#D6604D","Total Count",164727
2022-07-03,"Brunei","Confirmed","#D6604D","Count per 10K",3894.25531914894
2022-07-03,"Brunei","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Jamaica","Confirmed","#D6604D","Total Count",143240
2022-07-03,"Jamaica","Confirmed","#D6604D","Count per 10K",497.188476223533
2022-07-03,"Jamaica","Confirmed","#D6604D","New Cases per 10K",0.496355432141617
